id;nom;carte;menu
1;Account Awesome;optical;Iowa
2;Account Planner;SAS;silver reinvent
3;Re-contextualized radical;Internal yellow Qatar;Beauty Profit-focused
4;Corner Rapids hierarchy;Music encompassing Gorgeous;Movies Interactions
5;orchestrate;Account parse;Music Account copying
6;technologies;connecting;hack
7;indigo Customer;capacitor navigate matrix;Taiwan
8;IBXXXXXXXX;Interface conglomeration Soap;gold communities
9;system Adaptive;Bedfordshire core;infrastructures RAM
10;payment program;Rand SDD;Mountains
