id;ville;metropole;communaute
1;exuding Gloves;Executive;wireless
2;transmit bluetooth;Granite Metal;Fresh
3;HumanXXXXX;empowering Borders hack;user Palestinian online
4;FrancXXXXX;Tactics;extend
5;purple Locks;invoice;Polarised well-modulated
6;plumXXXXXX;Customer Automated e-tailers;Licensed
7;copyXXXXXX;Incredible Account;Guinea-Bissau indexing
8;Loan array;throughput;Concrete Junction Human
9;California Buckinghamshire;Granite Loan dedicated;Avon
10;TowelsXXXX;Table;Liaison quantifying Plastic
